"Nom";"Version";"Editeur";"Date";"Taille";"Source";"Categorie"
"Microsoft.Paint";"11.2601.401.0";;"-";"0";"AppX";"main"
"Microsoft.RawImageExtension";"2.5.7.0";;"-";"0";"AppX";"main"
"Microsoft.ScreenSketch";"11.2601.0.0";;"-";"0";"AppX";"main"
"Microsoft.SecHealthUI";"1000.29510.1001.0";;"-";"0";"AppX";"main"
"Microsoft.StorePurchaseApp";"22512.1401.1.0";;"-";"0";"AppX";"main"
"Microsoft.VP9VideoExtensions";"1.2.12.0";;"-";"0";"AppX";"main"
"Microsoft.WebMediaExtensions";"2.1.20.0";;"-";"0";"AppX";"main"
"Microsoft.WebpImageExtension";"1.2.14.0";;"-";"0";"AppX";"main"
"Microsoft.WidgetsPlatformRuntime";"1.6.14.0";;"-";"0";"AppX";"main"
"Microsoft.Winget.Source";"2026.312.1141.11";;"-";"0";"AppX";"main"
"Microsoft.ZuneMusic";"11.2601.11.0";;"-";"0";"AppX";"main"
"MicrosoftCorporationII.WinAppRuntime.Main.1.8";"8000.770.947.0";;"-";"0";"AppX";"main"
"MicrosoftWindows.Client.WebExperience";"526.1202.40.0";;"-";"0";"AppX";"main"
"ModifiableWindowsApps";"(dossier)";"-";"-";"0";"Dossier";"main"
"MSBuild";"(dossier)";"-";"-";"0";"Dossier";"main"
"NCM GPRS 64";"01.02.0000";"Siemens AG";"20/03/2026";"0,3";"Registre";"main"
"NREL";"(dossier)";"-";"-";"0";"Dossier";"main"
"NVIDIA Ansel";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Corporation";"(dossier)";"-";"-";"0";"Dossier";"main"
"NVIDIA Display Container";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"doublon"
"NVIDIA Display Container LS";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Display Session Container";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Display Watchdog Plugin";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Install Application";"2.1002.291.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA nView 148.92";"148.92";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Optimus Update 31.1.10.0";"31.1.10.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"update"
"NVIDIA Pilote 3D Vision 391.35";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Pilote audio HD : 1.3.36.6";"1.3.36.6";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Pilote du contrôleur 3D Vision 390.41";"390.41";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Pilote graphique 391.35";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Stereoscopic 3D Driver";"7.17.13.7500";"NVIDIA Corporation";"-";"0";"Registre";"main"
"NVIDIA Telemetry Client";"8.0.16.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Telemetry Container";"8.0.16.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Update Core";"31.1.10.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"update"
"NVIDIA WMI 2.31.0";"2.31.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"ODIS";"(dossier)";"-";"-";"0";"Dossier";"main"
"ONLYOFFICE 9.3.1 (x64)";"9.3.1.8";"Ascensio System SIA";"12/03/2026";"1596,5";"Registre";"main"
